Symbol,Identifier,Open,DayHigh,DayLow,LastPrice,PreviousClose,Change,pChange,YearHigh,YearLow,TotalTradedVolume,TotalTradedValue,NearWKH,NearWKL,PerChange365d,Date365dAgo,Date30dAgo,PerChange30d
KOTAKBANK,KOTAKBANKEQN,1840.55,1847.9,1831.9,1833.5,1850,-16.5,-0.89,2064.4,1643.5,794901,1461735500,11.1848479,-11.56069364,-0.31,01-Aug-22,30-Jun-23,0.19
LT,LTEQN,2638,2644.95,2625.05,2639,2666.65,2.35,0.09,2690,1773,440718,1161463810,1.895910781,-48.84376763,46.95,01-Aug-22,30-Jun-23,7.72
LTIM,LTIMEQN,4975,4976,4885.55,4891.65,4977.45,-85.8,-1.72,5430,4121,96084,473020571.2,9.914364641,-18.70055812,-,-,30-Jun-23,-4.23
M&M,M&MEQN,1493.35,1497,1476.95,1478.35,1493.35,-15,-1,1594.8,1123.4,1013618,1507736503,7.301856032,-31.59604771,20.65,01-Aug-22,30-Jun-23,2.73
MARUTI,MARUTIEQN,9715,9793.45,9630.05,9648.75,9716.75,-68,-0.7,10036.95,8076.05,200874,1951185582,3.867708816,-19.47362882,7.92,01-Aug-22,30-Jun-23,-0.74
NESTLEIND,NESTLEINDEQN,22690,22690,22510.6,22630,22593.7,36.3,0.16,23395.35,17880,9860,222874256.8,3.271376577,-26.56599553,17.34,01-Aug-22,30-Jun-23,-1.31
NIFTY 50,NIFTY 50,19655.4,19678.25,19552.75,19554.3,19733.55,-179.25,-0.91,19991.85,16747.7,92050171,70160226227,2.188641872,-16.75812201,13.8,01-Aug-22,30-Jun-23,2.84
NTPC,NTPCEQN,225.05,225.15,219.6,219.85,225.15,-5.3,-2.35,226.65,151,8317035,1847213474,3.000220604,-45.59602649,43.87,01-Aug-22,30-Jun-23,19.03
ONGC,ONGCEQN,177,178.65,175.05,175.2,176.7,-1.5,-0.85,178.65,121.5,3696762,654289906.4,1.931150294,-44.19753086,27.67,01-Aug-22,30-Jun-23,10.23
POWERGRID,POWERGRIDEQN,252.9,253.8,249.65,250.9,251.8,-0.9,-0.36,267,186.35,5660145,1426130134,6.029962547,-34.63911994,15,01-Aug-22,30-Jun-23,-1.31
RELIANCE,RELIANCEEQN,2509.2,2512,2482.8,2484.6,2513.2,-28.6,-1.14,2856,2180,2029843,5069492296,13.00420168,-13.97247706,-2.39,01-Aug-22,30-Jun-23,-1.45
SBILIFE,SBILIFEEQN,1280,1284.9,1265,1268.1,1279.95,-11.85,-0.93,1340.35,1054,206942,262636300.5,5.390383109,-20.31309298,-2.54,01-Aug-22,30-Jun-23,-2.06
SBIN,SBINEQN,609.85,610.5,605.5,605.65,611.85,-6.2,-1.01,629.55,499.35,3405090,2070192567,3.796362481,-21.28767398,14.63,01-Aug-22,30-Jun-23,6.81
SUNPHARMA,SUNPHARMAEQN,1143.95,1144.3,1130.25,1132.4,1143.45,-11.05,-0.97,1155.35,856.8,388658,441814754.7,1.986411044,-32.16619981,24.46,01-Aug-22,30-Jun-23,8.73
TATACONSUM,TATACONSUMEQN,855,855,838.2,840.95,856.75,-15.8,-1.84,883.95,686.6,575070,485002536.6,4.864528537,-22.4803379,5.63,01-Aug-22,30-Jun-23,-0.48
TATAMOTORS,TATAMOTORSEQN,644,644.3,630.75,631,643.65,-12.65,-1.97,665.4,375.2,4014622,2553420031,5.169822663,-68.17697228,34.32,01-Aug-22,30-Jun-23,8.08
TATASTEEL,TATASTEELEQN,122.9,122.9,119.9,120.55,123.2,-2.65,-2.15,124.3,95,19792602,2386196097,3.01689461,-26.89473684,13.81,01-Aug-22,30-Jun-23,10
TCS,TCSEQN,3434.95,3446.4,3423.2,3431.25,3452.05,-20.8,-0.6,3575,2926.1,735102,2525406166,4.020979021,-17.26359318,4.65,01-Aug-22,30-Jun-23,4.54
TECHM,TECHMEQN,1143,1145.2,1127.2,1127.5,1143.5,-16,-1.4,1270.75,981.05,722518,820614268.9,11.27287035,-14.92788339,8.95,01-Aug-22,30-Jun-23,1.12
TITAN,TITANEQN,3005.65,3005.7,2974.05,2980.2,3001.9,-21.7,-0.72,3210,2269.6,266176,795341873.3,7.158878505,-31.30948185,26.33,01-Aug-22,30-Jun-23,-1.5
ULTRACEMCO,ULTRACEMCOEQN,8268,8315,8224.7,8242.5,8281.8,-39.3,-0.47,8499,6005,48451,400285688.7,3.018002118,-37.26061615,24.4,01-Aug-22,30-Jun-23,-0.16
UPL,UPLEQN,628.8,629.55,621.1,621.1,625.7,-4.6,-0.74,807,611,1134660,708663249.6,23.03593556,-1.653027823,-18.46,01-Aug-22,30-Jun-23,-9
WIPRO,WIPROEQN,405.9,405.9,402.55,403,406.95,-3.95,-0.97,444.9,352,814026,329151413.1,9.417846707,-14.48863636,-5.14,01-Aug-22,30-Jun-23,4.57
